Post ID;Original Text;Ground Truth (Manual);Indo-Normalizer Output;GPT Output
1;aq gk ngerti sm skli;aku gak ngerti sama sekali;aku enggak mengerti sama sekali;Saya tidak mengerti sama sekali.
2;km lg ap?;kamu lagi apa?;km lagi tapi?;Anda sedang apa?
3;baikkkk bgt km;baik banget kamu;baik banget km;Baik sekali, kamu.
4;4ku lg mkn di rmh2;aku lagi makan di rumah-rumah;Aku lagi mkn dari rmh-rmh;Saya sedang makan di rumah.
5;gaje bgt sih;tidak jelas banget sih;enggak jelas banget sih;Sangat tidak masuk akal.
6;aku seneeeng bgt hr ini;aku senang banget hari ini;aku senang banget hari ini;Saya sangat senang hari ini.
7;hati2 di jalan ya;hati-hati di jalan ya;hati-hati dari jalan ya;Hati-hati di jalan, ya.
8;kmrn aq nonton film bgs bgt;kemarin aku nonton film bagus banget;kmrn aku menonton film bgs banget;Kemarin saya menonton film yang sangat bagus.
9;gue lg di cafe nihh;gue lagi di kafe nih;gue lagi dari cafe nihh;Saya sedang di kafe ini.
10;kmu lucu bngt sumpah;kamu lucu banget sumpah;kmu lucu bngt sumpah;Kamu sangat lucu, sungguh!
11;skrg udrn deras bgt;sekarang hujan deras banget;skrg sudirman deras banget;Sekarang hujan deras sekali.
12;m4kan p4gi bareng yukk;makan pagi bareng yuk;mAkan pAgi bareng suka;Mari makan pagi bersama!
13;rumah2 di kompleksku gede2;rumah-rumah di kompleksku gede-gede;rumah-rumah dari kompleks gede-gede;Rumah-rumah di kompleks saya besar-besar.
14;demen bgt mkn soto;senang banget makan soto;demen banget mkn soto;Saya sangat suka makan soto.
15;kmrn aq dapet nilai bgus;kemarin aku dapat nilai bagus;kmrn aku dapat nilai bagus;Kemarin saya mendapatkan nilai yang bagus.
16;gue lg nyari kosan2 murah;gue lagi nyari kosan-kosan murah;gue lagi mencari kosan-kosan murah;Saya sedang mencari kost-kostan yang murah.
17;blajar trus spy pinter;belajar terus supaya pintar;belajar terus spy pintar;Belajar terus supaya pintar.
18;aku kgn km;aku kangen kamu;aku kangen km;Saya kangen kamu.
19;@udin makasih infonya;@udin makasih infonya;achiruddin terima kasih infonya;Terima kasih atas informasinya, Udin.
20;linknya https://contoh.com yah;linknya https://contoh.com yah;linknya tips://contoh.com yah;Tautannya adalah https://contoh.com.
21;lo bener2 gokil;lo benar-benar gokil;kalau benar-benar gila;Kamu benar-benar luar biasa.
22;drpd diem mending ngobrol;daripada diam mending ngobrol;drpd diam mending mengobrol;Daripada diam, lebih baik berbicara.
23;aq mkn pke tangan;aku makan pakai tangan;aku mkn pke tangan;Saya makan menggunakan tangan.
24;gue b4ru balik dr bandara;gue baru balik dari bandara;gue bAru balik dari bandara;Saya baru saja kembali dari bandara.
25;sll sehat ya;selalu sehat ya;selalu sehat ya;Semoga semuanya sehat ya.
